title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
"Z3416857672",3198,Done,59.19,-8.26288,"glide-grid_6eti",,,-8.26288,0,,,,,,,,,,,,,1,,,-8.26288,-39.0931,-2.95547,-42.0485,7.55402,-57.6659
"Z3416857672",3199,Done,53.92,-9.2398,"glide-grid_6eti",,,-9.2398,0,,,,,,,,,,,,,1,,,-9.2398,-42.0518,-3.1302,-45.182,5.11042,-63.67
"Z3834809818",3200,Done,35.77,-7.48287,"glide-grid_6eti",,,-7.48287,0,,,,,,,,,,,,,1,,,-7.48287,-37.3711,-0.818263,-38.1894,5.44158,-52.7131
"Z4105194789",3201,Done,45.91,-7.91926,"glide-grid_6eti",,,-7.91926,0,,,,,,,,,,,,,1,,,-7.91926,-34.8114,-1.25917,-36.0706,4.21563,-49.4967
"Z4105194789",3202,Done,45.81,-7.93653,"glide-grid_6eti",,,-7.93653,0,,,,,,,,,,,,,1,,,-7.93653,-35.034,-0.882309,-35.9164,2.43296,-50.5477
"Z4105194789",3203,Done,47.22,-7.42601,"glide-grid_6eti",,,-7.42601,0,,,,,,,,,,,,,1,,,-7.42601,-36.0965,-0.507706,-36.6042,3.25548,-51.5528
"Z4105194789",3204,Done,47.04,-7.77113,"glide-grid_6eti",,,-7.77113,0,,,,,,,,,,,,,1,,,-7.77113,-37.5469,-1.42526,-38.9722,1.51394,-54.0651
"Z4105194789",3205,Done,45.57,-7.87671,"glide-grid_6eti",,,-7.87671,0,,,,,,,,,,,,,1,,,-7.87671,-34.3367,-1.18885,-35.5256,4.3011,-48.2406
"Z4105194789",3206,Done,47.76,-8.01952,"glide-grid_6eti",,,-8.01952,0,,,,,,,,,,,,,1,,,-8.01952,-35.6684,-1.78265,-37.4511,1.56678,-52.2372
"Z4105194789",3207,Done,46.62,-7.74624,"glide-grid_6eti",,,-7.74624,0,,,,,,,,,,,,,1,,,-7.74624,-37.3508,-1.06378,-38.4145,3.23148,-54.7169
