ids,SMILES
Z370424556,COc1ccc([C@@H]2CCCN2C(=O)Cn2c(=O)[nH]c3ccccc3c2=O)cc1
Z370424556,COc1ccc([C@H]2CCCN2C(=O)Cn2c(=O)[nH]c3ccccc3c2=O)cc1
Z1419566139,CN(c1ccccc1)C1CCN(C(=O)[C@@H]2CCNC(=O)C2)CC1
Z1419566139,CN(c1ccccc1)C1CCN(C(=O)[C@H]2CCNC(=O)C2)CC1
Z1442629164,Cc1cccc(C)c1CCNC(=O)[C@@H]1CCNC(=O)C1
Z1442629164,Cc1cccc(C)c1CCNC(=O)[C@H]1CCNC(=O)C1
Z1510349229,CC1(C)C[C@H](NC(=O)NCC2(c3ccc(F)cc3)CC2)CCO1
Z1510349229,CC1(C)C[C@@H](NC(=O)NCC2(c3ccc(F)cc3)CC2)CCO1
Z1019040068,CCc1cccc2c1OCC[C@@H]2NC(=O)N1CCNC(=O)C1
Z1019040068,CCc1cccc2c1OCC[C@H]2NC(=O)N1CCNC(=O)C1
Z2019044459,COc1ccccc1C1(C(=O)NCc2nccn2-c2ccccc2)CC1
Z2020861027,Cc1c(C(=O)NC[C@H](O)c2cccc(Br)c2)cnn1-c1ccc(=O)[nH]n1
Z2020861027,Cc1c(C(=O)NC[C@@H](O)c2cccc(Br)c2)cnn1-c1ccc(=O)[nH]n1
Z2218091683,CN(C)c1ccc(C2(C(=O)NCc3cccnc3N3CCOCC3)CC2)cc1
Z1943349686,C[C@H](NC(=O)c1cnc2n1CCCC2)c1ccc(Cl)cn1
Z1943349686,C[C@@H](NC(=O)c1cnc2n1CCCC2)c1ccc(Cl)cn1
Z1420721469,O=C1CCCN1CC[C@@H]1CN(C(=O)c2cc[nH]c(=O)c2)c2ccccc21
Z1420721469,O=C1CCCN1CC[C@H]1CN(C(=O)c2cc[nH]c(=O)c2)c2ccccc21
Z2435117640,Cc1cccn2cc(-c3ccc(NC(=O)[C@@H]4CC45CC[NH2+]CC5)cc3)nc12
Z2435117640,Cc1cccn2cc(-c3ccc(NC(=O)[C@H]4CC45CC[NH2+]CC5)cc3)nc12
Z2053520063,CCn1c([C@@H]2C[C@H](OC)C[NH+]2Cc2ccnn2C(C)C)n[nH]c1=O
Z2053520063,CCn1c([C@H]2C[C@H](OC)C[NH+]2Cc2ccnn2C(C)C)n[nH]c1=O
Z2053520063,CCn1c([C@@H]2C[C@@H](OC)C[NH+]2Cc2ccnn2C(C)C)n[nH]c1=O
Z2053520063,CCn1c([C@H]2C[C@@H](OC)C[NH+]2Cc2ccnn2C(C)C)n[nH]c1=O
Z73293757,O=C(CCN1C(=O)NC2(CCCC2)C1=O)NCCc1ccc2c(c1)OCCO2
Z1552620864,Cc1ccc(C(=O)NCC(=O)NCc2ccn(C)n2)cc1
Z2058551973,NC(=O)[C@]1(O)CCC[NH+](CC[S@](=O)c2cc(Cl)ccc2Cl)C1
Z2058551973,NC(=O)[C@@]1(O)CCC[NH+](CC[S@](=O)c2cc(Cl)ccc2Cl)C1
Z2058551973,NC(=O)[C@]1(O)CCC[NH+](CC[S@@](=O)c2cc(Cl)ccc2Cl)C1
Z2058551973,NC(=O)[C@@]1(O)CCC[NH+](CC[S@@](=O)c2cc(Cl)ccc2Cl)C1
Z2224676390,CCCOc1ccc(C(=O)NS(=O)(=O)c2cnn3c2OCCC3)c(OCCC)c1
Z1117179705,COC(=O)[C@@H]1CN(C(=O)NCc2ccnc(N3CC[NH+](C)CC3)c2)CCO1
Z1117179705,COC(=O)[C@H]1CN(C(=O)NCc2ccnc(N3CC[NH+](C)CC3)c2)CCO1
Z2226571803,Cc1nn(Cc2ccc(F)cc2)c2sc(C(=O)NCCc3ccc(=O)[nH]c3)cc12
Z1571697295,CC(C)(C(=O)Nc1ccc(C[C@@H]2NC(=O)NC2=O)cc1)c1ccccc1
Z1571697295,CC(C)(C(=O)Nc1ccc(C[C@H]2NC(=O)NC2=O)cc1)c1ccccc1
Z2076636654,CC[C@H](C)[C@H](NC(C)=O)C(=O)NC1CC(c2ccc(C(F)(F)F)cc2)C1
Z2076636654,CC[C@@H](C)[C@H](NC(C)=O)C(=O)NC1CC(c2ccc(C(F)(F)F)cc2)C1
Z2076636654,CC[C@H](C)[C@@H](NC(C)=O)C(=O)NC1CC(c2ccc(C(F)(F)F)cc2)C1
Z2076636654,CC[C@@H](C)[C@@H](NC(C)=O)C(=O)NC1CC(c2ccc(C(F)(F)F)cc2)C1
Z1134154477,CC(C)(C)c1nsc(NC(=O)NCc2cccnc2)n1
Z840118946,C[C@H](C[NH2+]CC1(c2ccc3c(c2)OCO3)CCOCC1)c1ccccc1
Z840118946,C[C@@H](C[NH2+]CC1(c2ccc3c(c2)OCO3)CCOCC1)c1ccccc1
Z1590664630,Cc1nc(C[NH+]2CCN(c3ccc(C(=O)Nc4ccccc4)nn3)CC2)n[nH]1
Z335375008,COc1ccc(S(=O)(=O)NC2(c3noc(C)n3)CCCCC2)cc1Br
Z2229678992,Cc1nc(NC(=O)C(C)(C)c2cccc(C(F)(F)F)c2)nn1C
Z1610887378,CC(C)C[C@@H]1C[C@H](NC(=O)c2c[nH]nc2-c2ccccc2)CCO1
Z1610887378,CC(C)C[C@H]1C[C@H](NC(=O)c2c[nH]nc2-c2ccccc2)CCO1
Z1610887378,CC(C)C[C@@H]1C[C@@H](NC(=O)c2c[nH]nc2-c2ccccc2)CCO1
Z1610887378,CC(C)C[C@H]1C[C@@H](NC(=O)c2c[nH]nc2-c2ccccc2)CCO1
Z1615549391,CCc1nc(NS(=O)(=O)c2cc(C)ccc2C)no1
Z1623034621,COC(=O)c1coc(S(=O)(=O)N[C@@H]2CCCC[C@@H]2C[NH3+])c1
Z1623034621,COC(=O)c1coc(S(=O)(=O)N[C@H]2CCCC[C@@H]2C[NH3+])c1
Z1623034621,COC(=O)c1coc(S(=O)(=O)N[C@@H]2CCCC[C@H]2C[NH3+])c1
Z1623034621,COC(=O)c1coc(S(=O)(=O)N[C@H]2CCCC[C@H]2C[NH3+])c1
Z2123219244,COc1ccc(Cn2ccc(NC(=O)c3cnn(CCF)c3)n2)cc1
Z1643502273,COc1cccc2c1CC[NH+](CC(=O)NCC(C)(C)N1CCOCC1)C2
Z1653136478,O=S(=O)(c1cccc(F)c1F)N1CC[C@H](Oc2cccc(F)c2)C1
Z1653136478,O=S(=O)(c1cccc(F)c1F)N1CC[C@@H](Oc2cccc(F)c2)C1
Z1654911328,CN(Cc1ccncc1)C(=O)c1cn[nH]c1-c1ccc2c(c1)OCO2
Z2165062631,O=C(C[C@@H]1CCCC(=O)N1)NCc1nnc(C2CC2)n1C1CC1
Z2165062631,O=C(C[C@H]1CCCC(=O)N1)NCc1nnc(C2CC2)n1C1CC1
Z2169314532,Cc1cccnc1OC1CC[NH+](Cc2nnc(C(C)C)n2C)CC1
Z1682711522,CNC(=O)C1(c2nc(-c3ccc(N4CCCC4=O)cc3)no2)CCC1
Z1683816654,CC(=O)N1CCN(c2cc(-c3noc(C(C)(C)F)n3)ccn2)CC1
Z2178762905,N#Cc1cncc(S(=O)(=O)N(CCC(=O)[O-])C2CCCC2)c1
Z2179537786,C[NH+](C[C@H](O)CN1C(=O)C[C@]2(CCc3ccccc32)C1=O)C1CC1
Z2179537786,C[NH+](C[C@@H](O)CN1C(=O)C[C@]2(CCc3ccccc32)C1=O)C1CC1
Z2179537786,C[NH+](C[C@H](O)CN1C(=O)C[C@@]2(CCc3ccccc32)C1=O)C1CC1
Z2179537786,C[NH+](C[C@@H](O)CN1C(=O)C[C@@]2(CCc3ccccc32)C1=O)C1CC1
Z1688679792,COc1ccc([C@@H]2CCCN2C(=O)Nc2ccnc(C)n2)cc1
Z1688679792,COc1ccc([C@H]2CCCN2C(=O)Nc2ccnc(C)n2)cc1
Z1514585484,Cc1nnnn1[C@H](Cc1ccccc1)C(=O)NCc1cccc(N(C)C)n1
Z1514585484,Cc1nnnn1[C@@H](Cc1ccccc1)C(=O)NCc1cccc(N(C)C)n1
Z1038934538,CC1(C)CCN(C(=O)CCc2nc(-c3ccncc3)no2)CC1
Z2219324799,O=C1NCCC[NH+](CCC(=O)N2CCOc3ccccc32)[C@@H]1Cc1ccccc1
Z2219324799,O=C1NCCC[NH+](CCC(=O)N2CCOc3ccccc32)[C@H]1Cc1ccccc1
Z27743821,CC[NH+]1CCN(C(=O)c2cc3cc(Br)ccc3oc2=O)CC1
Z438023452,NC(=O)[C@@H]1CCN(C(=O)c2cc(-c3cccs3)n[nH]2)C1
Z438023452,NC(=O)[C@H]1CCN(C(=O)c2cc(-c3cccs3)n[nH]2)C1
Z2220060210,CN(C)c1ccc(C2(C(=O)N3CC(n4cncn4)C3)CC2)cc1
Z826410738,Cc1cc(CNC(=O)N2CCC[C@@H]2c2ccccc2)no1
Z826410738,Cc1cc(CNC(=O)N2CCC[C@H]2c2ccccc2)no1
Z749331484,O=C(NC[C@@H]1COCCO1)N1CCN(CC(F)(F)F)CC1
Z749331484,O=C(NC[C@H]1COCCO1)N1CCN(CC(F)(F)F)CC1
Z1067812618,Cn1ccc(S(=O)(=O)Nc2cccc(C(=O)[O-])c2)n1
