,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel,SMILES
8333,Z2067322730,10496,Done,46.74,-8.1621,glide-grid_6eti,,,-8.1621,-0.387014,,,,,,,,,,,,,1.0,,,-8.1621,-41.2608,-2.00186,-43.2627,1.14703,-67.1544,Cc1ccc(C)c(-n2ncc(NCc3nnc4n3CCCC4)c2C)c1
8334,Z18477761,548,Done,56.17,-8.16204,glide-grid_6eti,,,-8.16204,-0.7,,,,,,,,,,,,,1.0,,,-8.16204,-37.5603,-4.93893,-42.4993,3.91811,-61.6374,Cc1cc(=O)oc2cc(OCC(=O)NCC(C)C)ccc12
8336,Z1984419085,13299,Done,47.2,-8.16175,glide-grid_6eti,,,-8.16175,-0.111254,,,,,,,,,,,,,1.0,,,-8.16175,-28.5692,-5.23684,-33.8061,3.13656,-45.7982,CCc1cc(NC(=O)[C@@]2(C)CCC(=O)NC2)ccc1C
8338,Z611236984,5116,Done,56.02,-8.16168,glide-grid_6eti,,,-8.16168,0.0,,,,,,,,,,,,,1.0,,,-8.16168,-45.0095,-3.85669,-48.8662,7.05928,-73.8882,Cc1ccc(S(=O)(=O)NC(=O)c2cc(C)n(-c3ccccc3)n2)cc1
8342,Z432437756,7951,Done,57.49,-8.16049,glide-grid_6eti,,,-8.16049,-0.579008,,,,,,,,,,,,,1.0,,,-8.16049,-36.5995,-3.60035,-40.1998,4.82247,-53.3005,CC[C@H](C)NC(=O)NC[C@H](C)N1CCc2ccccc21
8347,Z2595560093,1012,Done,63.27,-8.15964,glide-grid_6eti,,,-8.15964,0.0,,,,,,,,,,,,,1.0,,,-8.15964,-31.3401,-2.44594,-33.786,14.2506,-37.9774,O=C([O-])CCN(C[C@@H]1CCCO1)C(=O)[C@@H]1CCc2cc(F)ccc21
8348,Z1188818408,18518,Done,63.7,-8.15963,glide-grid_6eti,,,-8.15963,-0.646919,,,,,,,,,,,,,1.0,,,-8.15963,-44.2608,-4.18191,-48.4427,0.462865,-74.6767,O=C(Cn1nnc(-c2ccccc2)n1)N[C@H]1CCc2ncnn2C1
8351,Z839023718,10566,Done,130.9,-8.15916,glide-grid_6eti,,,-8.15916,0.0,,,,,,,,,,,,,1.0,,,-8.15916,-39.9815,-0.144874,-40.1264,0.235903,-68.8729,O=C(COc1ccc(OCc2ccccc2)cc1)N1CCC[NH2+]CC1
8352,Z1996021274,12312,Done,76.85,-8.1589,glide-grid_6eti,,,-8.1589,0.0,,,,,,,,,,,,,1.0,,,-8.1589,-41.2574,-2.9115,-44.1689,7.99042,-58.3494,CCOc1ccccc1N1CCN(C(=O)[C@@H]2CCCC(=O)N2)CC1
8353,Z1083846128,2026,Done,42.33,-8.15855,glide-grid_6eti,,,-8.15855,0.0,,,,,,,,,,,,,1.0,,,-8.15855,-43.9671,-2.00722,-45.9743,1.98307,-65.0724,COc1cccc(OCC(=O)N2CCN(C)c3ccccc3C2)c1
8354,Z1039076054,18455,Done,51.74,-8.15839,glide-grid_6eti,,,-8.15839,-0.266455,,,,,,,,,,,,,1.0,,,-8.15839,-35.7998,-3.94862,-39.7485,6.17426,-58.3737,O=C(NCC1CC1)[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1
8357,Z2795683515,10952,Done,33.8,-8.1579,glide-grid_6eti,,,-8.1579,0.0,,,,,,,,,,,,,1.0,,,-8.1579,-35.7854,-4.18468,-39.97,0.0408126,-58.408,C[NH+]1CCN(C(=O)Cc2cccc3ncccc23)CC1
8358,Z804852566,3899,Done,184.25,-8.15789,glide-grid_6eti,,,-8.15789,-0.7,,,,,,,,,,,,,1.0,,,-8.15789,-50.0324,-3.20986,-53.2423,9.15493,-75.9045,NC(=O)[C@@H]1CCCN(c2ccc(C(=O)NC3CC[NH+](CCc4ccccc4)CC3)cc2)C1
8359,Z1537752781,3943,Done,52.47,-8.1574,glide-grid_6eti,,,-8.1574,-0.276577,,,,,,,,,,,,,1.0,,,-8.1574,-46.2417,-1.69859,-47.9403,4.29694,-73.4053,O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1cccc(-c2cn[nH]c2)c1
8360,Z827286638,529,Done,157.2,-8.15709,glide-grid_6eti,,,-8.15709,-0.7,,,,,,,,,,,,,1.0,,,-8.15709,-51.2024,-4.95036,-56.1528,5.26825,-88.8738,CC(C)c1ccc(-c2nc(C(=O)NCCC(=O)NCc3cccnc3)cs2)cc1
8363,Z1516214695,17986,Done,41.51,-8.15656,glide-grid_6eti,,,-8.15656,-0.339523,,,,,,,,,,,,,1.0,,,-8.15656,-35.1839,1.06557,-34.1184,5.83144,-42.377,Cc1nc(C(=O)NC2(c3cccc(F)c3)CCOCC2)c[nH]1
8369,Z1575139381,19675,Done,63.81,-8.15622,glide-grid_6eti,,,-8.15622,0.0,,,,,,,,,,,,,1.0,,,-8.15622,-41.0847,-2.06179,-43.1465,0.587364,-65.0968,COC(=O)c1cnc(C(=O)NCC(C)(C)c2ccc(Br)cc2)cn1
8371,Z1575882885,857,Done,37.7,-8.15609,glide-grid_6eti,,,-8.15609,0.0,,,,,,,,,,,,,1.0,,,-8.15609,-36.8896,-3.01334,-39.9029,1.10902,-53.4087,C[C@@H]1OCC[C@H]1C(=O)Nc1ccc2c(c1)C(=O)N(C)CC2
